lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.0,"[3.0, 1.5, 0.5, 1.0, 2.4680559213273097, 3.467983561008608, 0.4]",[[263.8134430727029]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.008614380010959813, -0.04441644606676254, 6.723246351315441e-33], [0.0, 0.0, 0.0, 0.0, -0.04441644606676254, 0.22901481925474235, 1.7928656936841178e-32], [0.0, 0.0, 0.0, 0.0, 6.723246351315441e-33, 1.7928656936841178e-32, 3.3616231756577205e-33]]",0.0006359905884572875,263.8134430727029,[[16.242334902122384]],[16.242334902122384]
0.0005187441657055203,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[250.12827462983776]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.44416390321292193, -0.496602448155145, 0.0], [0.0, 0.0, 0.0, 0.0, -0.496602448155145, 0.5552319531816224, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007011753005007769,250.12827462983776,[[15.815444180605164]],[15.815444180605164]
0.0005681292589444498,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[248.82542948145456]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6034127247456827, -0.18099959123325748, 0.0], [0.0, 0.0, 0.0, 0.0, -0.18099959123325748, 0.054292610485491395, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007019390367961546,248.82542948145456,[[15.774201389656929]],[15.774201389656929]
0.0006423036998737253,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[246.8686080165]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.4389881442730167, -0.313277024806102, 0.0], [0.0, 0.0, 0.0, 0.0, -0.313277024806102, 0.22356525011373862, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007030910448639125,246.8686080165,[[15.712052953592664]],[15.712052953592664]
0.0008246168346853766,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[242.05894243529534]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.362685832077995, -0.1654981695472764, 0.0], [0.0, 0.0, 0.0, 0.0, -0.1654981695472764, 0.07551892492345545, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007059475962831309,242.05894243529534,[[15.558243552383905]],[15.558243552383905]
0.0009899939263861013,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[237.6960724386051]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6536110828551415, -0.5808930874968434, 0.0], [0.0, 0.0, 0.0, 0.0, -0.5808930874968434, 0.5162653877097753, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007085695708716779,237.6960724386051,[[15.41739512494264]],[15.41739512494264]
0.0009924640506289162,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[237.63090724047197]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.14154949506973502, -0.035979716571317384, 0.0], [0.0, 0.0, 0.0, 0.0, -0.035979716571317384, 0.009145493623375845, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007086089554730393,237.63090724047197,[[15.41528161405013]],[15.41528161405013]
0.0010674650227472382,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[235.65228077163934]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0009256542328372477, -0.006095456849698343, 0.0], [0.0, 0.0, 0.0, 0.0, -0.006095456849698343, 0.04013873959464419, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007098079102196848,235.65228077163934,[[15.350970027058203]],[15.350970027058203]
0.001233062511908134,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[231.2835963936649]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.6387789487530573, -0.0411736087312723, 0.0], [0.0, 0.0, 0.0, 0.0, -0.0411736087312723, 0.0026539166002029118, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.0007124764581556759,231.2835963936649,[[15.208010928246498]],[15.208010928246498]
0.0016607076748005323,"[3.0, 1.5, 0.5, 1.0, 2.0, 6.0, 0.4]",[[220.0017421100625]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.2978800657392635, -0.038376852437765785, 0.0], [0.0, 0.0, 0.0, 0.0, -0.038376852437765785, 0.004944214039213973, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.000760913767888265,220.0017421100625,[[14.832455700593295]],[14.832455700593295]
