lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.001929707873339459,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[126.88790787541394]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.04942473210479176, -0.12381571102737347, 2.844450379402687e-33], [0.0, 0.0, 0.0, 0.0, -0.12381571102737347, 0.3101752835950678, 1.8963002529351246e-32], [0.0, 0.0, 0.0, 0.0, 2.844450379402687e-33, 1.8963002529351246e-32, 3.3185254426364685e-33]]",0.00027165387328033336,126.88790787541394,[[11.264453287905896]],[11.264453287905896]
0.002308772586742003,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[120.92793422413237]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.19243088140585543, -0.19303551072771025, 3.792600505870249e-33], [0.0, 0.0, 0.0, 0.0, -0.19303551072771025, 0.19364203983100473, 2.465190328815662e-32], [0.0, 0.0, 0.0, 0.0, 3.792600505870249e-33, 2.465190328815662e-32, 3.3185254426364685e-33]]",0.00027364233632093973,120.92793422413237,[[10.99672379502788]],[10.99672379502788]
0.0024779308570230807,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[118.2682858893612]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.21949343712832434, -0.05554180501130355, 5.688900758805374e-33], [0.0, 0.0, 0.0, 0.0, -0.05554180501130355, 0.014054598371021524, -5.30964070821835e-32], [0.0, 0.0, 0.0, 0.0, 5.688900758805374e-33, -5.30964070821835e-32, 3.3185254426364685e-33]]",0.0002745460664367783,118.2682858893612,[[10.875122339052615]],[10.875122339052615]
0.0027072736757871585,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[114.66236555804032]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.16537690964196528, -0.1784431758555212, -7.585201011740499e-33], [0.0, 0.0, 0.0, 0.0, -0.1784431758555212, 0.19254179485117373, 2.2755603035221496e-32], [0.0, 0.0, 0.0, 0.0, -7.585201011740499e-33, 2.2755603035221496e-32, 3.3185254426364685e-33]]",0.00027578747119286657,114.66236555804032,[[10.708051436094259]],[10.708051436094259]
0.0036162447849409363,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[100.3707586930675]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.28418525782900755, -0.3068134423582267, 1.8963002529351246e-33], [0.0, 0.0, 0.0, 0.0, -0.3068134423582267, 0.33124339077555204, -2.2755603035221496e-32], [0.0, 0.0, 0.0, 0.0, 1.8963002529351246e-33, -2.2755603035221496e-32, 3.3185254426364685e-33]]",0.00028089032430084725,100.3707586930675,[[10.018520783681966]],[10.018520783681966]
0.0038941463811326127,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[96.00135649763655]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1805562815996642, -0.01135439772479411, 1.8963002529351246e-33], [0.0, 0.0, 0.0, 0.0, -0.01135439772479411, 0.0007140285929163111, -1.8963002529351246e-32], [0.0, 0.0, 0.0, 0.0, 1.8963002529351246e-33, -1.8963002529351246e-32, 3.3185254426364685e-33]]",0.00028250867105623526,96.00135649763655,[[9.798028194368321]],[9.798028194368321]
0.004003162442779096,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[94.28731445677386]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.037401306161362474, -0.0009034136131106445, -4.7407506323378116e-33], [0.0, 0.0, 0.0, 0.0, -0.0009034136131106445, 2.1821595022174964e-05, 2.654820354109175e-32], [0.0, 0.0, 0.0, 0.0, -4.7407506323378116e-33, 2.654820354109175e-32, 3.3185254426364685e-33]]",0.0002831509689735608,94.28731445677386,[[9.71016552159508]],[9.71016552159508]
0.004007604733339498,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[94.21746903525283]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.22610910492126432, -0.11576397558096901, -5.688900758805374e-33], [0.0, 0.0, 0.0, 0.0, -0.11576397558096901, 0.059269165861223314, 0.0], [0.0, 0.0, 0.0, 0.0, -5.688900758805374e-33, 0.0, 3.3185254426364685e-33]]",0.0002831772309397227,94.21746903525283,[[9.706568344953475]],[9.706568344953475]
0.004305775667678646,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[89.5293752892328]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.00010349333623380132, -0.007299530527059706, -9.481501264675623e-34], [0.0, 0.0, 0.0, 0.0, -0.007299530527059706, 0.5148461519793389, -2.465190328815662e-32], [0.0, 0.0, 0.0, 0.0, -9.481501264675623e-34, -2.465190328815662e-32, 3.3185254426364685e-33]]",0.0002849558926904766,89.5293752892328,[[9.461996369119616]],[9.461996369119616]
0.004363621514715366,"[1.0, 0.8, 0.2, 0.5, 1.0, 5.0, 0.3]",[[88.6198743201759]],"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.1685068787693173, -0.3022967798542257, -5.688900758805374e-33], [0.0, 0.0, 0.0, 0.0, -0.3022967798542257, 0.542312241361589, 7.585201011740499e-33], [0.0, 0.0, 0.0, 0.0, -5.688900758805374e-33, 7.585201011740499e-33, 3.3185254426364685e-33]]",0.0002853045936022345,88.6198743201759,[[9.413812953324275]],[9.413812953324275]
