lambda,x_opt,cov_matrix,solution_covariance,objective_covariance,sensitivity_norm,P_matrix,P_flattened
0.17534651145392188,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.17546224657908782,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573635,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.17613829917307988,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.17629136502213016,"[2.0, 1.0, 1e-06]",[[1.1102230246251565e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573613,1.1102230246251565e-12,[[1.0536712127723508e-06]],[1.0536712127723508e-06]
0.1763555764178013,"[2.0, 1.0, 1e-06]",[[0.0]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573648,0.0,[[nan]],[nan]
0.17635638000807585,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.17666698132716163,"[2.0, 1.0, 1e-06]",[[-5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573613,5.551115123125783e-13,[[nan]],[nan]
0.1767727829392317,"[2.0, 1.0, 1e-06]",[[1.6653345369377348e-12]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573617,1.6653345369377348e-12,[[1.2904784139758924e-06]],[1.2904784139758924e-06]
0.17700141112134105,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573613,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.17723550124927256,"[2.0, 1.0, 1e-06]",[[-5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,5.551115123125783e-13,[[nan]],[nan]
0.17750658243696749,"[2.0, 1.0, 1e-06]",[[5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,5.551115123125783e-13,[[7.450580596923828e-07]],[7.450580596923828e-07]
0.1784417618218309,"[2.0, 1.0, 1e-06]",[[-5.551115123125783e-13]],"[[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 4.720163248252015e-44]]",0.0036168381540573626,5.551115123125783e-13,[[nan]],[nan]
