lambda,x_opt,f_opt,hessian,local_cov
0.0,-2.0,0.0,-9.000000000000327,0.003048698605579474
0.00020004000800160032,-1.9993998799759953,0.0008999999639855957,-8.999999999998593,0.0022711898192429914
0.00040008001600320064,-1.9987997599519904,0.0017996397839279794,-8.999999999999893,0.0032476886375625807
0.000600120024004801,-1.9981996399279855,0.0026989194598271526,-9.000000000000327,0.002414248080114733
0.0008001600320064013,-1.9975995199039807,0.0035978389916831136,-8.999999999999352,0.0024433966255363376
0.0010002000400080016,-1.996999399879976,0.004496398379495863,-9.000000000002522,0.0026368728390269006
0.001200240048009602,-1.9963992798559713,0.005394597623265402,-8.999999999998268,0.0029666438401933213
0.0014002800560112022,-1.9957991598319664,0.006292436722991727,-8.999999999999893,0.0022363313487904274
0.0016003200640128026,-1.9951990398079615,0.007189915678674844,-9.000000000001629,0.0023041572658883077
0.0018003600720144029,-1.9945989197839566,0.008087034490314744,-8.99999999999469,0.0030092994220276533
0.002000400080016003,-1.993998799759952,0.008983793157911438,-9.000000000001195,0.0026110910442526734
0.0022004400880176033,-1.9933986797359473,0.009880191681464917,-8.999999999996858,0.0027698790691319153
0.002400480096019204,-1.9927985597119424,0.010776230060975186,-8.999999999997726,0.0015431083910216947
0.0026005201040208044,-1.9921984396879375,0.011671908296442247,-9.000000000001195,0.0018244636774751204
0.0028005601120224045,-1.9915983196639326,0.012567226387866089,-8.999999999998593,0.002419932825619088
0.0030006001200240046,-1.990998199639928,0.013462184335246725,-9.000000000003798,0.0031613717362242266
0.003200640128025605,-1.9903980796159233,0.014356782138584151,-9.000000000007267,0.0022498256068574007
0.0034006801360272057,-1.9897979595919184,0.015251019797878358,-9.000000000002062,0.0026189672063637336
0.0036007201440288058,-1.9891978395679135,0.016144897313129365,-9.000000000009,0.003605085534295548
0.003800760152030406,-1.9885977195439086,0.017038414684337144,-8.999999999998593,0.0032360779544070976
0.004000800160032006,-1.987997599519904,0.01793157191150172,-9.000000000002062,0.0030177808172072323
0.004200840168033607,-1.9873974794958993,0.018824368994623093,-9.000000000005532,0.0035099458545887327
0.004400880176035207,-1.9867973594718944,0.01971680593370124,-8.999999999995124,0.0022834274481073205
0.004600920184036807,-1.9861972394478895,0.020608882728736188,-9.000000000002062,0.00261191669922802
0.004800960192038408,-1.9855971194238846,0.021500599379727914,-8.999999999998593,0.002625685502094507
0.005001000200040008,-1.98499699939988,0.022391955886676435,-9.000000000002062,0.0038227833574034434
0.005201040208041609,-1.9843968793758753,0.023282952249581747,-9.000000000002062,0.003040051178759091
0.0054010802160432084,-1.9837967593518704,0.024173588468443835,-8.999999999998593,0.002585919563605714
0.005601120224044809,-1.9831966393278655,0.025063864543262725,-8.999999999998593,0.0027934227848448465
0.0058011602320464095,-1.9825965193038606,0.025953780474038395,-8.999999999995124,0.0034692827526751893
0.006001200240048009,-1.981996399279856,0.02684333626077086,-9.000000000005532,0.00287763733155933
0.00620124024804961,-1.9813962792558513,0.02773253190346011,-9.000000000002062,0.0027954587934384736
0.00640128025605121,-1.9807961592318464,0.02862136740210614,-8.999999999984714,0.0026612713941929697
0.006601320264052811,-1.9801960392078415,0.029509842756708978,-8.999999999998593,0.0022504269173236947
0.006801360272054411,-1.9795959191838368,0.030397957967268588,-8.999999999988184,0.0020183032241784275
0.007001400280056011,-1.978995799159832,0.031285713033784995,-9.00000000001247,0.0034360694140809158
0.0072014402880576115,-1.9783956791358273,0.03217310795625819,-8.999999999998593,0.003494818786853635
0.007401480296059212,-1.9777955591118224,0.03306014273468816,-8.999999999984714,0.00420303716691131
0.007601520304060812,-1.9771954390878175,0.03394681736907494,-9.000000000005532,0.002258656948587947
0.007801560312062412,-1.9765953190638128,0.03483313185941849,-8.999999999984714,0.002847568802702038
0.008001600320064013,-1.975995199039808,0.035719086205718835,-8.999999999995124,0.0030923532777582274
0.008201640328065612,-1.9753950790158032,0.03660468040797597,-8.999999999988184,0.0031877620655929658
0.008401680336067214,-1.9747949589917984,0.0374899144661899,-9.000000000009,0.002543255306148657
0.008601720344068814,-1.9741948389677935,0.03837478838036062,-9.00000000002288,0.004220734625401243
0.008801760352070413,-1.9735947189437888,0.03925930215048811,-8.999999999995124,0.0028771298392000705
0.009001800360072015,-1.972994598919784,0.040143455776572405,-9.00000000002288,0.003128134057960731
0.009201840368073614,-1.9723944788957792,0.04102724925861347,-8.999999999988184,0.0026228186402418407
0.009401880376075216,-1.9717943588717743,0.041910682596611334,-8.999999999988184,0.0035074821710983314
0.009601920384076815,-1.9711942388477695,0.042793755790566,-8.999999999995124,0.0023440825844223004
0.009801960392078415,-1.9705941188237648,0.04367646884047744,-9.000000000009,0.0031140403868176736
0.010002000400080016,-1.96999399879976,0.04455882174634567,-9.000000000009,0.00359401919885342
0.010202040408081616,-1.9693938787757552,0.045440814508170696,-9.00000000001594,0.0039058501706710964
0.010402080416083218,-1.9687937587517503,0.046322447125952494,-8.999999999988184,0.0025665143669157124
0.010602120424084817,-1.9681936387277454,0.04720371959969111,-9.00000000002288,0.0038412984312169384
0.010802160432086417,-1.9675935187037408,0.04808463192938648,-9.000000000002062,0.00378179987503538
0.011002200440088018,-1.9669933986797359,0.04896518411503865,-8.999999999995124,0.00339145380293043
0.011202240448089618,-1.9663932786557312,0.049845376156647615,-8.999999999995124,0.003542644873661479
0.011402280456091218,-1.9657931586317263,0.05072520805421336,-9.000000000002062,0.0019626724451267275
0.011602320464092819,-1.9651930386077217,0.0516046798077359,-8.999999999988184,0.003390064888668211
0.011802360472094419,-1.9645929185837168,0.05248379141721523,-8.999999999995124,0.003399728783203203
0.012002400480096018,-1.9639927985597119,0.05336254288265134,-9.000000000009,0.004553038294509535
0.01220244048809762,-1.9633926785357072,0.054240934204044265,-9.000000000009,0.0037799292103962495
0.01240248049609922,-1.9627925585117023,0.055118965381393936,-9.000000000009,0.002850554998432934
0.01260252050410082,-1.9621924384876976,0.05599663641470043,-8.999999999995124,0.004589056401166818
0.01280256051210242,-1.9615923184636928,0.056873947303963696,-8.999999999995124,0.0022042439608936327
0.01300260052010402,-1.9609921984396879,0.057750898049183756,-9.00000000002288,0.004111737415196841
0.013202640528105622,-1.9603920784156832,0.058627488650360604,-9.000000000009,0.004350354962821796
0.013402680536107221,-1.9597919583916783,0.059503719107494225,-9.000000000002062,0.0040448465255811085
0.013602720544108823,-1.9591918383676736,0.06037958942058466,-8.999999999995124,0.004448463597849829
0.013802760552110422,-1.9585917183436687,0.061255099589631865,-8.999999999981245,0.00328770003481512
0.014002800560112022,-1.9579915983196639,0.06213024961463586,-8.999999999995124,0.0035332949400230626
0.014202840568113623,-1.9573914782956592,0.06300503949559667,-9.00000000002288,0.00509994892559989
0.014402880576115223,-1.9567913582716543,0.06387946923251422,-8.999999999981245,0.003344939831848065
0.014602920584116823,-1.9561912382476496,0.06475353882538859,-8.999999999981245,0.003370100074704487
0.014802960592118424,-1.9555911182236447,0.06562724827421976,-8.999999999988184,0.004417723743824973
0.015003000600120024,-1.9549909981996398,0.0665005975790077,-9.00000000001594,0.0046527139732119764
0.015203040608121624,-1.9543908781756352,0.06737358673975244,-9.00000000002288,0.005171481617252918
0.015403080616123225,-1.9537907581516303,0.06824621575645393,-8.99999999995349,0.0042355616366485365
0.015603120624124825,-1.9531906381276256,0.06911848462911226,-8.999999999995124,0.004405721441987947
0.015803160632126424,-1.9525905181036207,0.06999039335772736,-9.000000000009,0.003109549364908437
0.016003200640128026,-1.9519903980796158,0.07086194194229925,-9.00000000002288,0.004430667817082633
0.016203240648129627,-1.9513902780556112,0.07173313038282793,-9.000000000009,0.004270939211158359
0.016403280656131225,-1.9507901580316065,0.07260395867931337,-9.000000000009,0.004375846113623506
0.016603320664132826,-1.9501900380076016,0.07347442683175563,-8.999999999995124,0.0045331459542867995
0.016803360672134428,-1.9495899179835967,0.07434453484015466,-8.999999999967368,0.005153441139667426
0.017003400680136026,-1.9489897979595918,0.07521428270451049,-8.999999999995124,0.004867616106820688
0.017203440688137627,-1.9483896779355871,0.07608367042482311,-9.000000000009,0.004334769522454568
0.01740348069613923,-1.9477895579115825,0.07695269800109251,-9.00000000002288,0.00447919242004878
0.017603520704140826,-1.9471894378875776,0.0778213654333187,-8.999999999995124,0.004861238810933382
0.017803560712142428,-1.9465893178635727,0.07868967272150168,-8.999999999967368,0.003273422621387182
0.01800360072014403,-1.9459891978395678,0.07955761986564146,-9.000000000009,0.004574403986565131
0.01820364072814563,-1.9453890778155631,0.08042520686573805,-9.00000000002288,0.004760511807249019
0.01840368073614723,-1.9447889577915585,0.08129243372179135,-8.999999999981245,0.004892759470816265
0.01860372074414883,-1.9441888377675536,0.0821593004338015,-8.999999999981245,0.0037192975431190574
0.01880376075215043,-1.9435887177435487,0.08302580700176844,-8.999999999995124,0.0036310326338971407
0.01900380076015203,-1.9429885977195438,0.08389195342569214,-9.00000000002288,0.0059859719309549005
0.01920384076815363,-1.9423884776955391,0.08475773970557267,-9.000000000036756,0.004705167711728853
0.019403880776155232,-1.9417883576715345,0.08562316584140994,-9.000000000036756,0.003895141394472326
0.01960392078415683,-1.9411882376475296,0.086488231833204,-8.999999999995124,0.004289534651732166
0.01980396079215843,-1.9405881176235247,0.08735293768095488,-9.000000000009,0.005282984410734825
0.020004000800160033,-1.9399879975995198,0.08821728338466253,-9.000000000009,0.0059170091576825675
0.02020404080816163,-1.9393878775755151,0.08908126894432697,-8.999999999995124,0.0047194125645418595
0.020404080816163232,-1.9387877575515104,0.0899448943599482,-8.999999999995124,0.00362185888058256
0.020604120824164834,-1.9381876375275056,0.09080815963152623,-8.999999999995124,0.0044995319938281285
0.020804160832166435,-1.9375875175035007,0.09167106475906105,-8.999999999981245,0.0028138903134172135
0.021004200840168033,-1.9369873974794958,0.09253360974255263,-9.00000000002288,0.0036955849249211215
0.021204240848169634,-1.936387277455491,0.09339579458200103,-9.000000000036756,0.00485455649049629
0.021404280856171236,-1.9357871574314864,0.09425761927740621,-9.000000000036756,0.003427950280048301
0.021604320864172834,-1.9351870374074815,0.09511908382876816,-9.000000000009,0.004765220631297475
0.021804360872174435,-1.9345869173834767,0.09598018823608691,-8.999999999981245,0.004964866526329823
0.022004400880176037,-1.9339867973594718,0.09684093249936246,-9.000000000036756,0.005047187263568556
0.022204440888177635,-1.933386677335467,0.09770131661859477,-9.000000000009,0.0052109467989470415
0.022404480896179236,-1.9327865573114624,0.09856134059378388,-8.999999999981245,0.00549047920247195
0.022604520904180837,-1.9321864372874575,0.09942100442492981,-9.00000000002288,0.004311970830301224
0.022804560912182435,-1.9315863172634526,0.10028030811203248,-8.999999999981245,0.00488811265114819
0.023004600920184037,-1.9309861972394478,0.10113925165509198,-9.000000000064512,0.004934502173295882
0.023204640928185638,-1.930386077215443,0.10199783505410827,-9.000000000036756,0.005465402595444288
0.023404680936187236,-1.9297859571914384,0.10285605830908129,-9.000000000009,0.004983398578698808
0.023604720944188837,-1.9291858371674335,0.10371392142001115,-8.999999999981245,0.005622215171855933
0.02380476095219044,-1.9285857171434286,0.10457142438689777,-8.999999999967368,0.006187346183635787
0.024004800960192037,-1.9279855971194237,0.10542856720974121,-9.000000000050635,0.005471941787622104
0.024204840968193638,-1.927385477095419,0.10628534988854144,-9.00000000002288,0.005201394592286931
0.02440488097619524,-1.9267853570714144,0.10714177242329842,-9.000000000009,0.00552296924439352
0.02460492098419684,-1.9261852370474095,0.10799783481401223,-9.000000000009,0.004896041911054217
0.02480496099219844,-1.9255851170234046,0.10885353706068279,-9.000000000009,0.0050892534086039104
0.02500500100020004,-1.9249849969993997,0.10970887916331017,-9.00000000002288,0.005622534307014709
0.02520504100820164,-1.924384876975395,0.11056386112189434,-9.000000000036756,0.00456683814966962
0.02540508101620324,-1.9237847569513904,0.11141848293643525,-9.00000000002288,0.004136644725978913
0.02560512102420484,-1.9231846369273855,0.11227274460693298,-8.999999999995124,0.005383784614990511
0.025805161032206442,-1.9225845169033806,0.11312664613338752,-8.999999999995124,0.004456926983704438
0.02600520104020804,-1.9219843968793757,0.11398018751579882,-9.000000000036756,0.0048255748199419034
0.026205241048209642,-1.921384276855371,0.11483336875416694,-9.000000000036756,0.006495669380624533
0.026405281056211243,-1.9207841568313664,0.11568618984849179,-8.999999999981245,0.004997786373828359
